input1,input2,output
21450,13890,16272
13890,16272,16239
16272,16239,16753
16239,16753,18934
16753,18934,19393
18934,19393,21160
19393,21160,27132
21160,27132,31046
27132,31046,30308
31046,30308,32880
30308,32880,30498
32880,30498,32791
30498,32791,27814
32791,27814,31404
27814,31404,34169
31404,34169,36113
34169,36113,33428
36113,33428,36101
33428,36101,20399
36101,20399,17581
20399,17581,14214
17581,14214,13991
14214,13991,14337
13991,14337,14371
14337,14371,15154
14371,15154,16574
15154,16574,15064
16574,15064,19325
15064,19325,29044
19325,29044,25700
29044,25700,16932
25700,16932,15914
16932,15914,20243
15914,20243,22077
20243,22077,21696
22077,21696,20645
21696,20645,17939
20645,17939,18408
17939,18408,18722
18408,18722,19191
18722,19191,19575
19191,19575,21081
19575,21081,22278
21081,22278,25018
22278,25018,33496
25018,33496,38316
33496,38316,36258
38316,36258,36951
36258,36951,32601
36951,32601,33742
32601,33742,33697
33742,33697,18106
33697,18106,17133
18106,17133,16563
17133,16563,17916
16563,17916,19795
17916,19795,21316
19795,21316,18319
21316,18319,16692
18319,16692,14371
16692,14371,12022
14371,12022,13219
12022,13219,14270
13219,14270,15433
14270,15433,17290
15433,17290,17961
17290,17961,24000
17961,24000,29346
24000,29346,43349
29346,43349,40653
43349,40653,42633
40653,42633,40870
42633,40870,41459
40870,41459,37422
41459,37422,36348
37422,36348,29415
36348,29415,26596
29415,26596,26819
26596,26819,19448
26819,19448,16608
19448,16608,18699
16608,18699,18218
18699,18218,19908
18218,19908,20746
19908,20746,21898
20746,21898,26304
21898,26304,22323
26304,22323,19135
22323,19135,19974
19135,19974,20265
19974,20265,21898
20265,21898,21943
21898,21943,22032
21943,22032,24906
22032,24906,28452
24906,28452,31091
28452,31091,33373
31091,33373,28664
33373,28664,30845
28664,30845,31482
30845,31482,25410
31482,25410,24213
25410,24213,16563
24213,16563,16858
16563,16858,17916
16858,17916,18632
17916,18632,17089
18632,17089,14630
17089,14630,12582
14630,12582,11966
12582,11966,10993
11966,10993,14158
10993,14158,13912
14158,13912,15411
13912,15411,17704
15411,17704,23061
17704,23061,32120
23061,32120,27669
32120,27669,35307
27669,35307,38786
35307,38786,32724
38786,32724,27165
32724,27165,24973
27165,24973,25208
24973,25208,25857
25208,25857,28575
25857,28575,24671
28575,24671,16731
24671,16731,18006
16731,18006,19728
18006,19728,18252
19728,18252,19784
18252,19784,20701
19784,20701,18453
20701,18453,18587
18453,18587,22558
18587,22558,22703
22558,22703,24962
